# Renewables.ninja Solar PV (Point API) - 45.550, -75.908 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in America/Toronto, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "America/Toronto", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "45.55014934029082", "lon": "-75.90831726707572", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2018-12-31 19:00,0,0,0,-2.916
2019-01-01 01:00,2018-12-31 20:00,0,0,0,-2.813
2019-01-01 02:00,2018-12-31 21:00,0,0,0,-2.761
2019-01-01 03:00,2018-12-31 22:00,0,0,0,-2.645
2019-01-01 04:00,2018-12-31 23:00,0,0,0,-2.389
2019-01-01 05:00,2019-01-01 00:00,0,0,0,-2.476
2019-01-01 06:00,2019-01-01 01:00,0,0,0,-2.525
2019-01-01 07:00,2019-01-01 02:00,0,0,0,-2.577
2019-01-01 08:00,2019-01-01 03:00,0,0,0,-2.811
2019-01-01 09:00,2019-01-01 04:00,0,0,0,-3.350
2019-01-01 10:00,2019-01-01 05:00,0,0,0,-3.887
2019-01-01 11:00,2019-01-01 06:00,0,0,0,-4.310
2019-01-01 12:00,2019-01-01 07:00,0,0.001,0.001,-4.663
2019-01-01 13:00,2019-01-01 08:00,0.149,0.124,0.040,-5.195
2019-01-01 14:00,2019-01-01 09:00,0.417,0.373,0.064,-6.170
2019-01-01 15:00,2019-01-01 10:00,0.544,0.495,0.077,-7.264
2019-01-01 16:00,2019-01-01 11:00,0.652,0.619,0.076,-8.166
2019-01-01 17:00,2019-01-01 12:00,0.714,0.702,0.064,-8.875
2019-01-01 18:00,2019-01-01 13:00,0.683,0.672,0.054,-9.697
2019-01-01 19:00,2019-01-01 14:00,0.544,0.516,0.047,-10.871
2019-01-01 20:00,2019-01-01 15:00,0.286,0.256,0.036,-12.531
2019-01-01 21:00,2019-01-01 16:00,0.002,0.006,0.003,-14.428
2019-01-01 22:00,2019-01-01 17:00,0,0,0,-16.067
2019-01-01 23:00,2019-01-01 18:00,0,0,0,-17.473
2019-01-02 00:00,2019-01-01 19:00,0,0,0,-19.067
2019-01-02 01:00,2019-01-01 20:00,0,0,0,-20.625
2019-01-02 02:00,2019-01-01 21:00,0,0,0,-21.531
2019-01-02 03:00,2019-01-01 22:00,0,0,0,-21.682
2019-01-02 04:00,2019-01-01 23:00,0,0,0,-21.598
2019-01-02 05:00,2019-01-02 00:00,0,0,0,-22.338
2019-01-02 06:00,2019-01-02 01:00,0,0,0,-23.214
2019-01-02 07:00,2019-01-02 02:00,0,0,0,-23.525
2019-01-02 08:00,2019-01-02 03:00,0,0,0,-23.419
2019-01-02 09:00,2019-01-02 04:00,0,0,0,-22.777
2019-01-02 10:00,2019-01-02 05:00,0,0,0,-22.605
2019-01-02 11:00,2019-01-02 06:00,0,0,0,-23.214
2019-01-02 12:00,2019-01-02 07:00,0,0.003,0.001,-23.648
2019-01-02 13:00,2019-01-02 08:00,0.297,0.258,0.032,-23.389
2019-01-02 14:00,2019-01-02 09:00,0.573,0.521,0.043,-22.055
2019-01-02 15:00,2019-01-02 10:00,0.732,0.698,0.048,-19.724
2019-01-02 16:00,2019-01-02 11:00,0.804,0.784,0.052,-18.224
2019-01-02 17:00,2019-01-02 12:00,0.801,0.785,0.053,-17.081
2019-01-02 18:00,2019-01-02 13:00,0.684,0.644,0.059,-16.291
2019-01-02 19:00,2019-01-02 14:00,0.402,0.327,0.075,-16.036
2019-01-02 20:00,2019-01-02 15:00,0.088,0.052,0.047,-16.348
2019-01-02 21:00,2019-01-02 16:00,0,0.001,0.002,-16.902
2019-01-02 22:00,2019-01-02 17:00,0,0,0,-17.139
2019-01-02 23:00,2019-01-02 18:00,0,0,0,-16.937
2019-01-03 00:00,2019-01-02 19:00,0,0,0,-16.483
2019-01-03 01:00,2019-01-02 20:00,0,0,0,-16.029
2019-01-03 02:00,2019-01-02 21:00,0,0,0,-15.715
2019-01-03 03:00,2019-01-02 22:00,0,0,0,-15.471
2019-01-03 04:00,2019-01-02 23:00,0,0,0,-15.255
2019-01-03 05:00,2019-01-03 00:00,0,0,0,-15.040
2019-01-03 06:00,2019-01-03 01:00,0,0,0,-14.893
2019-01-03 07:00,2019-01-03 02:00,0,0,0,-14.850
2019-01-03 08:00,2019-01-03 03:00,0,0,0,-14.873
2019-01-03 09:00,2019-01-03 04:00,0,0,0,-14.841
2019-01-03 10:00,2019-01-03 05:00,0,0,0,-14.786
2019-01-03 11:00,2019-01-03 06:00,0,0,0,-14.617
2019-01-03 12:00,2019-01-03 07:00,0,0,0.001,-14.849
2019-01-03 13:00,2019-01-03 08:00,0.071,0.038,0.044,-15.320
2019-01-03 14:00,2019-01-03 09:00,0.193,0.100,0.100,-13.657
2019-01-03 15:00,2019-01-03 10:00,0.263,0.133,0.138,-11.399
2019-01-03 16:00,2019-01-03 11:00,0.315,0.166,0.159,-9.654
2019-01-03 17:00,2019-01-03 12:00,0.289,0.138,0.161,-8.234
2019-01-03 18:00,2019-01-03 13:00,0.175,0.059,0.130,-7.198
2019-01-03 19:00,2019-01-03 14:00,0.149,0.060,0.103,-6.483
2019-01-03 20:00,2019-01-03 15:00,0.050,0.019,0.045,-6.487
2019-01-03 21:00,2019-01-03 16:00,0,0,0.002,-7.098
2019-01-03 22:00,2019-01-03 17:00,0,0,0,-6.753
2019-01-03 23:00,2019-01-03 18:00,0,0,0,-6.049
2019-01-04 00:00,2019-01-03 19:00,0,0,0,-5.433
2019-01-04 01:00,2019-01-03 20:00,0,0,0,-5.184
2019-01-04 02:00,2019-01-03 21:00,0,0,0,-5.286
2019-01-04 03:00,2019-01-03 22:00,0,0,0,-5.296
2019-01-04 04:00,2019-01-03 23:00,0,0,0,-5.077
2019-01-04 05:00,2019-01-04 00:00,0,0,0,-4.700
2019-01-04 06:00,2019-01-04 01:00,0,0,0,-4.327
2019-01-04 07:00,2019-01-04 02:00,0,0,0,-4.018
2019-01-04 08:00,2019-01-04 03:00,0,0,0,-3.780
2019-01-04 09:00,2019-01-04 04:00,0,0,0,-3.465
2019-01-04 10:00,2019-01-04 05:00,0,0,0,-3.269
2019-01-04 11:00,2019-01-04 06:00,0,0,0,-3.400
2019-01-04 12:00,2019-01-04 07:00,0,0,0.001,-3.301
2019-01-04 13:00,2019-01-04 08:00,0.035,0.014,0.036,-2.870
2019-01-04 14:00,2019-01-04 09:00,0.108,0.036,0.088,-2.068
2019-01-04 15:00,2019-01-04 10:00,0.231,0.110,0.140,-1.024
2019-01-04 16:00,2019-01-04 11:00,0.284,0.145,0.161,-0.159
2019-01-04 17:00,2019-01-04 12:00,0.263,0.123,0.161,0.160
2019-01-04 18:00,2019-01-04 13:00,0.218,0.096,0.142,0.252
2019-01-04 19:00,2019-01-04 14:00,0.149,0.063,0.104,0.267
2019-01-04 20:00,2019-01-04 15:00,0.058,0.026,0.049,0.126
2019-01-04 21:00,2019-01-04 16:00,0,0.001,0.003,-0.553
