# Renewables.ninja Wind (Point API) - 45.550, -75.908 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in America/Toronto, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "America/Toronto", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "45.55014934029082", "lon": "-75.90831726707572", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "4500", "height": "80", "turbine": "Gamesa G128 4500", "raw": true}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2018-12-31 19:00,729.135,5.547
2019-01-01 01:00,2018-12-31 20:00,712.745,5.515
2019-01-01 02:00,2018-12-31 21:00,772.779,5.666
2019-01-01 03:00,2018-12-31 22:00,1483.791,7.107
2019-01-01 04:00,2018-12-31 23:00,1367.475,6.902
2019-01-01 05:00,2019-01-01 00:00,811.515,5.760
2019-01-01 06:00,2019-01-01 01:00,662.609,5.382
2019-01-01 07:00,2019-01-01 02:00,514.136,4.950
2019-01-01 08:00,2019-01-01 03:00,642.835,5.319
2019-01-01 09:00,2019-01-01 04:00,1094.516,6.379
2019-01-01 10:00,2019-01-01 05:00,1903.050,7.818
2019-01-01 11:00,2019-01-01 06:00,2714.467,9.152
2019-01-01 12:00,2019-01-01 07:00,3271.830,10.220
2019-01-01 13:00,2019-01-01 08:00,3380.977,10.460
2019-01-01 14:00,2019-01-01 09:00,3608.020,11.009
2019-01-01 15:00,2019-01-01 10:00,3301.296,10.283
2019-01-01 16:00,2019-01-01 11:00,2998.699,9.667
2019-01-01 17:00,2019-01-01 12:00,2780.258,9.275
2019-01-01 18:00,2019-01-01 13:00,2530.098,8.846
2019-01-01 19:00,2019-01-01 14:00,2269.298,8.413
2019-01-01 20:00,2019-01-01 15:00,2022.521,8.007
2019-01-01 21:00,2019-01-01 16:00,1913.867,7.828
2019-01-01 22:00,2019-01-01 17:00,1853.245,7.733
2019-01-01 23:00,2019-01-01 18:00,1575.629,7.262
2019-01-02 00:00,2019-01-01 19:00,1296.842,6.772
2019-01-02 01:00,2019-01-01 20:00,983.098,6.148
2019-01-02 02:00,2019-01-01 21:00,901.828,5.960
2019-01-02 03:00,2019-01-01 22:00,743.697,5.594
