# Renewables.ninja Solar PV (Point API) - 47.371, -70.864 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in America/Toronto, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "America/Toronto", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "47.371226077226275", "lon": "-70.8635928486976", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2018-12-31 19:00,0,0,0,-8.242
2019-01-01 01:00,2018-12-31 20:00,0,0,0,-7.954
2019-01-01 02:00,2018-12-31 21:00,0,0,0,-7.363
2019-01-01 03:00,2018-12-31 22:00,0,0,0,-7.001
2019-01-01 04:00,2018-12-31 23:00,0,0,0,-6.770
2019-01-01 05:00,2019-01-01 00:00,0,0,0,-6.678
2019-01-01 06:00,2019-01-01 01:00,0,0,0,-6.828
2019-01-01 07:00,2019-01-01 02:00,0,0,0,-6.691
2019-01-01 08:00,2019-01-01 03:00,0,0,0,-6.242
2019-01-01 09:00,2019-01-01 04:00,0,0,0,-6.001
2019-01-01 10:00,2019-01-01 05:00,0,0,0,-5.998
2019-01-01 11:00,2019-01-01 06:00,0,0,0,-6.056
2019-01-01 12:00,2019-01-01 07:00,0,0,0.002,-6.141
2019-01-01 13:00,2019-01-01 08:00,0.012,0.003,0.021,-6.194
2019-01-01 14:00,2019-01-01 09:00,0.086,0.023,0.078,-6.076
2019-01-01 15:00,2019-01-01 10:00,0.279,0.162,0.131,-5.819
2019-01-01 16:00,2019-01-01 11:00,0.476,0.381,0.120,-6.012
2019-01-01 17:00,2019-01-01 12:00,0.491,0.403,0.111,-7.236
2019-01-01 18:00,2019-01-01 13:00,0.299,0.199,0.110,-8.984
2019-01-01 19:00,2019-01-01 14:00,0.235,0.169,0.074,-10.908
2019-01-01 20:00,2019-01-01 15:00,0.071,0.060,0.023,-13.040
2019-01-01 21:00,2019-01-01 16:00,0,0,0,-15.162
2019-01-01 22:00,2019-01-01 17:00,0,0,0,-16.894
2019-01-01 23:00,2019-01-01 18:00,0,0,0,-18.488
2019-01-02 00:00,2019-01-01 19:00,0,0,0,-19.972
2019-01-02 01:00,2019-01-01 20:00,0,0,0,-21.335
2019-01-02 02:00,2019-01-01 21:00,0,0,0,-22.484
2019-01-02 03:00,2019-01-01 22:00,0,0,0,-23.322
2019-01-02 04:00,2019-01-01 23:00,0,0,0,-24.030
2019-01-02 05:00,2019-01-02 00:00,0,0,0,-24.800
2019-01-02 06:00,2019-01-02 01:00,0,0,0,-25.476
2019-01-02 07:00,2019-01-02 02:00,0,0,0,-25.953
2019-01-02 08:00,2019-01-02 03:00,0,0,0,-26.051
2019-01-02 09:00,2019-01-02 04:00,0,0,0,-25.843
2019-01-02 10:00,2019-01-02 05:00,0,0,0,-25.518
2019-01-02 11:00,2019-01-02 06:00,0,0,0,-25.320
