# Renewables.ninja Solar PV (Point API) - 43.921, -79.846 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in America/Toronto, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "America/Toronto", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "43.92128765340045", "lon": "-79.84575834456882", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2018-12-31 19:00,0,0,0,0.622
2019-01-01 01:00,2018-12-31 20:00,0,0,0,0.527
2019-01-01 02:00,2018-12-31 21:00,0,0,0,0.489
2019-01-01 03:00,2018-12-31 22:00,0,0,0,0.941
2019-01-01 04:00,2018-12-31 23:00,0,0,0,2.104
2019-01-01 05:00,2019-01-01 00:00,0,0,0,3.450
2019-01-01 06:00,2019-01-01 01:00,0,0,0,2.846
2019-01-01 07:00,2019-01-01 02:00,0,0,0,1.018
2019-01-01 08:00,2019-01-01 03:00,0,0,0,-0.654
2019-01-01 09:00,2019-01-01 04:00,0,0,0,-1.430
2019-01-01 10:00,2019-01-01 05:00,0,0,0,-1.837
2019-01-01 11:00,2019-01-01 06:00,0,0,0,-2.455
2019-01-01 12:00,2019-01-01 07:00,0,0,0,-3.241
2019-01-01 13:00,2019-01-01 08:00,0.100,0.082,0.035,-3.813
2019-01-01 14:00,2019-01-01 09:00,0.330,0.275,0.073,-3.750
2019-01-01 15:00,2019-01-01 10:00,0.540,0.498,0.081,-3.490
2019-01-01 16:00,2019-01-01 11:00,0.630,0.599,0.087,-3.237
2019-01-01 17:00,2019-01-01 12:00,0.606,0.559,0.099,-3.183
2019-01-01 18:00,2019-01-01 13:00,0.555,0.499,0.097,-3.307
2019-01-01 19:00,2019-01-01 14:00,0.434,0.372,0.088,-3.694
2019-01-01 20:00,2019-01-01 15:00,0.262,0.214,0.063,-4.534
2019-01-01 21:00,2019-01-01 16:00,0.035,0.034,0.015,-6.358
2019-01-01 22:00,2019-01-01 17:00,0,0,0,-8.510
2019-01-01 23:00,2019-01-01 18:00,0,0,0,-10.013
2019-01-02 00:00,2019-01-01 19:00,0,0,0,-10.955
2019-01-02 01:00,2019-01-01 20:00,0,0,0,-11.463
2019-01-02 02:00,2019-01-01 21:00,0,0,0,-11.851
2019-01-02 03:00,2019-01-01 22:00,0,0,0,-11.973
2019-01-02 04:00,2019-01-01 23:00,0,0,0,-11.686
2019-01-02 05:00,2019-01-02 00:00,0,0,0,-11.338
2019-01-02 06:00,2019-01-02 01:00,0,0,0,-11.102
2019-01-02 07:00,2019-01-02 02:00,0,0,0,-11.688
2019-01-02 08:00,2019-01-02 03:00,0,0,0,-12.323
2019-01-02 09:00,2019-01-02 04:00,0,0,0,-12.449
2019-01-02 10:00,2019-01-02 05:00,0,0,0,-12.371
2019-01-02 11:00,2019-01-02 06:00,0,0,0,-12.365
2019-01-02 12:00,2019-01-02 07:00,0,0,0,-12.589
2019-01-02 13:00,2019-01-02 08:00,0.127,0.101,0.037,-12.314
2019-01-02 14:00,2019-01-02 09:00,0.385,0.321,0.073,-10.446
2019-01-02 15:00,2019-01-02 10:00,0.519,0.443,0.099,-8.485
2019-01-02 16:00,2019-01-02 11:00,0.357,0.215,0.156,-7.298
2019-01-02 17:00,2019-01-02 12:00,0.228,0.082,0.159,-6.533
2019-01-02 18:00,2019-01-02 13:00,0.181,0.055,0.140,-5.835
2019-01-02 19:00,2019-01-02 14:00,0.166,0.063,0.118,-5.336
2019-01-02 20:00,2019-01-02 15:00,0.115,0.054,0.076,-5.229
2019-01-02 21:00,2019-01-02 16:00,0.006,0.004,0.011,-5.800
2019-01-02 22:00,2019-01-02 17:00,0,0,0,-6.100
2019-01-02 23:00,2019-01-02 18:00,0,0,0,-6.006
2019-01-03 00:00,2019-01-02 19:00,0,0,0,-5.797
2019-01-03 01:00,2019-01-02 20:00,0,0,0,-5.466
2019-01-03 02:00,2019-01-02 21:00,0,0,0,-5.099
2019-01-03 03:00,2019-01-02 22:00,0,0,0,-4.762
2019-01-03 04:00,2019-01-02 23:00,0,0,0,-4.534
2019-01-03 05:00,2019-01-03 00:00,0,0,0,-4.212
2019-01-03 06:00,2019-01-03 01:00,0,0,0,-3.810
2019-01-03 07:00,2019-01-03 02:00,0,0,0,-4.181
2019-01-03 08:00,2019-01-03 03:00,0,0,0,-4.889
2019-01-03 09:00,2019-01-03 04:00,0,0,0,-5.094
2019-01-03 10:00,2019-01-03 05:00,0,0,0,-5.141
2019-01-03 11:00,2019-01-03 06:00,0,0,0,-5.213
2019-01-03 12:00,2019-01-03 07:00,0,0,0,-4.867
2019-01-03 13:00,2019-01-03 08:00,0.044,0.025,0.034,-4.210
2019-01-03 14:00,2019-01-03 09:00,0.178,0.097,0.097,-2.974
2019-01-03 15:00,2019-01-03 10:00,0.269,0.150,0.139,-1.983
2019-01-03 16:00,2019-01-03 11:00,0.334,0.191,0.165,-1.529
2019-01-03 17:00,2019-01-03 12:00,0.264,0.114,0.170,-1.333
2019-01-03 18:00,2019-01-03 13:00,0.205,0.073,0.150,-1.282
2019-01-03 19:00,2019-01-03 14:00,0.171,0.067,0.123,-1.334
2019-01-03 20:00,2019-01-03 15:00,0.095,0.039,0.073,-1.664
2019-01-03 21:00,2019-01-03 16:00,0.013,0.010,0.014,-2.446
2019-01-03 22:00,2019-01-03 17:00,0,0,0,-3.246
2019-01-03 23:00,2019-01-03 18:00,0,0,0,-3.399
2019-01-04 00:00,2019-01-03 19:00,0,0,0,-3.076
2019-01-04 01:00,2019-01-03 20:00,0,0,0,-2.642
2019-01-04 02:00,2019-01-03 21:00,0,0,0,-2.397
2019-01-04 03:00,2019-01-03 22:00,0,0,0,-2.434
2019-01-04 04:00,2019-01-03 23:00,0,0,0,-2.797
2019-01-04 05:00,2019-01-04 00:00,0,0,0,-3.167
2019-01-04 06:00,2019-01-04 01:00,0,0,0,-3.453
2019-01-04 07:00,2019-01-04 02:00,0,0,0,-3.421
2019-01-04 08:00,2019-01-04 03:00,0,0,0,-3.356
2019-01-04 09:00,2019-01-04 04:00,0,0,0,-3.590
2019-01-04 10:00,2019-01-04 05:00,0,0,0,-3.912
2019-01-04 11:00,2019-01-04 06:00,0,0,0,-3.920
2019-01-04 12:00,2019-01-04 07:00,0,0,0,-4.092
2019-01-04 13:00,2019-01-04 08:00,0.085,0.066,0.036,-3.744
2019-01-04 14:00,2019-01-04 09:00,0.266,0.203,0.082,-2.231
2019-01-04 15:00,2019-01-04 10:00,0.510,0.468,0.085,-0.435
2019-01-04 16:00,2019-01-04 11:00,0.677,0.689,0.072,1.128
2019-01-04 17:00,2019-01-04 12:00,0.698,0.720,0.071,1.971
2019-01-04 18:00,2019-01-04 13:00,0.648,0.659,0.069,2.448
2019-01-04 19:00,2019-01-04 14:00,0.525,0.514,0.065,2.581
2019-01-04 20:00,2019-01-04 15:00,0.315,0.288,0.054,2.051
2019-01-04 21:00,2019-01-04 16:00,0.058,0.058,0.016,0.044
2019-01-04 22:00,2019-01-04 17:00,0,0,0,-1.552
2019-01-04 23:00,2019-01-04 18:00,0,0,0,-2.132
2019-01-05 00:00,2019-01-04 19:00,0,0,0,-2.622
2019-01-05 01:00,2019-01-04 20:00,0,0,0,-3.025
2019-01-05 02:00,2019-01-04 21:00,0,0,0,-3.311
2019-01-05 03:00,2019-01-04 22:00,0,0,0,-3.545
2019-01-05 04:00,2019-01-04 23:00,0,0,0,-3.322
2019-01-05 05:00,2019-01-05 00:00,0,0,0,-3.014
2019-01-05 06:00,2019-01-05 01:00,0,0,0,-2.595
2019-01-05 07:00,2019-01-05 02:00,0,0,0,-2.003
2019-01-05 08:00,2019-01-05 03:00,0,0,0,-1.685
2019-01-05 09:00,2019-01-05 04:00,0,0,0,-1.631
2019-01-05 10:00,2019-01-05 05:00,0,0,0,-1.579
2019-01-05 11:00,2019-01-05 06:00,0,0,0,-1.570
2019-01-05 12:00,2019-01-05 07:00,0,0,0,-1.639
