# Renewables.ninja Wind (Point API) - 43.921, -79.846 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in America/Toronto, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "America/Toronto", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "43.92128765340045", "lon": "-79.84575834456882", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "4500", "height": "80", "turbine": "Gamesa G128 4500", "raw": true}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2018-12-31 19:00,2357.819,8.553
2019-01-01 01:00,2018-12-31 20:00,3100.606,9.870
2019-01-01 02:00,2018-12-31 21:00,2806.552,9.322
2019-01-01 03:00,2018-12-31 22:00,1990.858,7.962
2019-01-01 04:00,2018-12-31 23:00,2753.151,9.228
2019-01-01 05:00,2019-01-01 00:00,4012.605,12.389
2019-01-01 06:00,2019-01-01 01:00,3918.123,12.002
2019-01-01 07:00,2019-01-01 02:00,3909.373,11.971
2019-01-01 08:00,2019-01-01 03:00,4179.680,13.265
2019-01-01 09:00,2019-01-01 04:00,4208.827,13.460
2019-01-01 10:00,2019-01-01 05:00,4182.495,13.283
2019-01-01 11:00,2019-01-01 06:00,4126.799,12.943
2019-01-01 12:00,2019-01-01 07:00,3968.115,12.195
2019-01-01 13:00,2019-01-01 08:00,3741.418,11.395
2019-01-01 14:00,2019-01-01 09:00,3464.580,10.647
2019-01-01 15:00,2019-01-01 10:00,3220.730,10.112
2019-01-01 16:00,2019-01-01 11:00,3127.617,9.916
2019-01-01 17:00,2019-01-01 12:00,2964.687,9.610
2019-01-01 18:00,2019-01-01 13:00,2831.717,9.367
2019-01-01 19:00,2019-01-01 14:00,2741.433,9.207
2019-01-01 20:00,2019-01-01 15:00,2568.301,8.908
2019-01-01 21:00,2019-01-01 16:00,2134.477,8.195
2019-01-01 22:00,2019-01-01 17:00,1564.113,7.245
2019-01-01 23:00,2019-01-01 18:00,1290.846,6.751
2019-01-02 00:00,2019-01-01 19:00,965.184,6.100
2019-01-02 01:00,2019-01-01 20:00,637.530,5.305
2019-01-02 02:00,2019-01-01 21:00,429.903,4.667
2019-01-02 03:00,2019-01-01 22:00,296.514,4.137
2019-01-02 04:00,2019-01-01 23:00,201.657,3.676
2019-01-02 05:00,2019-01-02 00:00,178.060,3.540
2019-01-02 06:00,2019-01-02 01:00,179.159,3.546
2019-01-02 07:00,2019-01-02 02:00,212.786,3.738
2019-01-02 08:00,2019-01-02 03:00,248.276,3.921
2019-01-02 09:00,2019-01-02 04:00,211.376,3.730
2019-01-02 10:00,2019-01-02 05:00,128.876,3.206
2019-01-02 11:00,2019-01-02 06:00,48.087,2.447
2019-01-02 12:00,2019-01-02 07:00,41.998,2.371
2019-01-02 13:00,2019-01-02 08:00,98.349,2.966
2019-01-02 14:00,2019-01-02 09:00,152.433,3.370
2019-01-02 15:00,2019-01-02 10:00,141.816,3.307
2019-01-02 16:00,2019-01-02 11:00,141.741,3.306
2019-01-02 17:00,2019-01-02 12:00,165.007,3.450
2019-01-02 18:00,2019-01-02 13:00,200.573,3.670
2019-01-02 19:00,2019-01-02 14:00,278.915,4.066
2019-01-02 20:00,2019-01-02 15:00,363.155,4.422
2019-01-02 21:00,2019-01-02 16:00,553.839,5.063
2019-01-02 22:00,2019-01-02 17:00,954.880,6.079
2019-01-02 23:00,2019-01-02 18:00,1146.575,6.477
2019-01-03 00:00,2019-01-02 19:00,1139.359,6.466
2019-01-03 01:00,2019-01-02 20:00,1016.924,6.217
2019-01-03 02:00,2019-01-02 21:00,1012.658,6.206
2019-01-03 03:00,2019-01-02 22:00,819.163,5.774
2019-01-03 04:00,2019-01-02 23:00,384.954,4.506
2019-01-03 05:00,2019-01-03 00:00,395.730,4.537
2019-01-03 06:00,2019-01-03 01:00,998.557,6.181
2019-01-03 07:00,2019-01-03 02:00,1808.938,7.653
2019-01-03 08:00,2019-01-03 03:00,2494.338,8.778
2019-01-03 09:00,2019-01-03 04:00,2861.069,9.415
2019-01-03 10:00,2019-01-03 05:00,3085.621,9.830
2019-01-03 11:00,2019-01-03 06:00,3210.120,10.082
2019-01-03 12:00,2019-01-03 07:00,3283.858,10.246
2019-01-03 13:00,2019-01-03 08:00,3060.124,9.791
2019-01-03 14:00,2019-01-03 09:00,2515.315,8.820
2019-01-03 15:00,2019-01-03 10:00,2586.596,8.941
2019-01-03 16:00,2019-01-03 11:00,3180.449,10.030
2019-01-03 17:00,2019-01-03 12:00,3353.276,10.394
2019-01-03 18:00,2019-01-03 13:00,3378.840,10.455
2019-01-03 19:00,2019-01-03 14:00,3274.254,10.225
2019-01-03 20:00,2019-01-03 15:00,3063.842,9.798
2019-01-03 21:00,2019-01-03 16:00,3025.099,9.724
2019-01-03 22:00,2019-01-03 17:00,2964.793,9.610
2019-01-03 23:00,2019-01-03 18:00,3202.593,10.072
2019-01-04 00:00,2019-01-03 19:00,3493.694,10.726
2019-01-04 01:00,2019-01-03 20:00,3826.852,11.668
2019-01-04 02:00,2019-01-03 21:00,3910.514,11.975
2019-01-04 03:00,2019-01-03 22:00,3752.941,11.437
2019-01-04 04:00,2019-01-03 23:00,3662.629,11.170
2019-01-04 05:00,2019-01-04 00:00,3504.250,10.751
2019-01-04 06:00,2019-01-04 01:00,3503.736,10.740
2019-01-04 07:00,2019-01-04 02:00,3690.956,11.240
2019-01-04 08:00,2019-01-04 03:00,3583.792,10.955
2019-01-04 09:00,2019-01-04 04:00,3262.581,10.195
2019-01-04 10:00,2019-01-04 05:00,2962.433,9.605
2019-01-04 11:00,2019-01-04 06:00,2780.580,9.276
2019-01-04 12:00,2019-01-04 07:00,2697.069,9.130
2019-01-04 13:00,2019-01-04 08:00,2910.579,9.505
2019-01-04 14:00,2019-01-04 09:00,3158.234,9.985
2019-01-04 15:00,2019-01-04 10:00,3572.308,10.925
2019-01-04 16:00,2019-01-04 11:00,3486.591,10.709
2019-01-04 17:00,2019-01-04 12:00,2892.109,9.476
2019-01-04 18:00,2019-01-04 13:00,2127.140,8.183
2019-01-04 19:00,2019-01-04 14:00,1266.963,6.708
2019-01-04 20:00,2019-01-04 15:00,910.877,5.987
2019-01-04 21:00,2019-01-04 16:00,1224.672,6.636
2019-01-04 22:00,2019-01-04 17:00,1534.858,7.190
2019-01-04 23:00,2019-01-04 18:00,1451.331,7.052
2019-01-05 00:00,2019-01-04 19:00,1172.371,6.535
2019-01-05 01:00,2019-01-04 20:00,849.789,5.850
2019-01-05 02:00,2019-01-04 21:00,609.889,5.236
2019-01-05 03:00,2019-01-04 22:00,626.703,5.277
2019-01-05 04:00,2019-01-04 23:00,686.532,5.443
2019-01-05 05:00,2019-01-05 00:00,767.703,5.654
2019-01-05 06:00,2019-01-05 01:00,1200.541,6.580
2019-01-05 07:00,2019-01-05 02:00,1575.640,7.262
2019-01-05 08:00,2019-01-05 03:00,1566.265,7.252
2019-01-05 09:00,2019-01-05 04:00,1321.820,6.818
2019-01-05 10:00,2019-01-05 05:00,1074.782,6.337
2019-01-05 11:00,2019-01-05 06:00,886.835,5.936
2019-01-05 12:00,2019-01-05 07:00,740.214,5.576
2019-01-05 13:00,2019-01-05 08:00,610.132,5.237
2019-01-05 14:00,2019-01-05 09:00,346.814,4.358
2019-01-05 15:00,2019-01-05 10:00,142.421,3.311
2019-01-05 16:00,2019-01-05 11:00,59.181,2.589
2019-01-05 17:00,2019-01-05 12:00,90.280,2.904
2019-01-05 18:00,2019-01-05 13:00,273.301,4.040
2019-01-05 19:00,2019-01-05 14:00,602.813,5.216
2019-01-05 20:00,2019-01-05 15:00,867.156,5.891
2019-01-05 21:00,2019-01-05 16:00,1176.554,6.543
2019-01-05 22:00,2019-01-05 17:00,1544.776,7.216
2019-01-05 23:00,2019-01-05 18:00,1628.364,7.358
2019-01-06 00:00,2019-01-05 19:00,1802.822,7.643
2019-01-06 01:00,2019-01-05 20:00,1896.439,7.807
2019-01-06 02:00,2019-01-05 21:00,2094.191,8.124
2019-01-06 03:00,2019-01-05 22:00,2596.056,8.957
2019-01-06 04:00,2019-01-05 23:00,3030.965,9.732
2019-01-06 05:00,2019-01-06 00:00,3202.675,10.072
2019-01-06 06:00,2019-01-06 01:00,3210.097,10.083
2019-01-06 07:00,2019-01-06 02:00,3283.397,10.245
2019-01-06 08:00,2019-01-06 03:00,3530.389,10.817
2019-01-06 09:00,2019-01-06 04:00,3466.596,10.656
2019-01-06 10:00,2019-01-06 05:00,3399.724,10.503
2019-01-06 11:00,2019-01-06 06:00,3455.767,10.634
2019-01-06 12:00,2019-01-06 07:00,3426.716,10.566
2019-01-06 13:00,2019-01-06 08:00,3002.253,9.674
2019-01-06 14:00,2019-01-06 09:00,2924.071,9.534
2019-01-06 15:00,2019-01-06 10:00,3513.954,10.776
2019-01-06 16:00,2019-01-06 11:00,3243.160,10.149
2019-01-06 17:00,2019-01-06 12:00,2828.494,9.361
2019-01-06 18:00,2019-01-06 13:00,2544.915,8.871
2019-01-06 19:00,2019-01-06 14:00,2467.419,8.736
2019-01-06 20:00,2019-01-06 15:00,2341.688,8.527
2019-01-06 21:00,2019-01-06 16:00,2148.644,8.218
2019-01-06 22:00,2019-01-06 17:00,2112.600,8.151
2019-01-06 23:00,2019-01-06 18:00,1928.672,7.858
2019-01-07 00:00,2019-01-06 19:00,1609.407,7.324
2019-01-07 01:00,2019-01-06 20:00,1253.105,6.685
2019-01-07 02:00,2019-01-06 21:00,937.646,6.045
2019-01-07 03:00,2019-01-06 22:00,924.194,6.013
2019-01-07 04:00,2019-01-06 23:00,1011.032,6.204
2019-01-07 05:00,2019-01-07 00:00,1033.393,6.252
2019-01-07 06:00,2019-01-07 01:00,1224.186,6.635
2019-01-07 07:00,2019-01-07 02:00,1651.419,7.390
2019-01-07 08:00,2019-01-07 03:00,2134.166,8.195
2019-01-07 09:00,2019-01-07 04:00,2364.600,8.566
2019-01-07 10:00,2019-01-07 05:00,2305.975,8.475
2019-01-07 11:00,2019-01-07 06:00,2877.847,9.440
2019-01-07 12:00,2019-01-07 07:00,3336.389,10.356
2019-01-07 13:00,2019-01-07 08:00,3582.502,10.952
2019-01-07 14:00,2019-01-07 09:00,3917.289,11.997
2019-01-07 15:00,2019-01-07 10:00,4140.347,13.028
2019-01-07 16:00,2019-01-07 11:00,4266.193,13.906
2019-01-07 17:00,2019-01-07 12:00,4313.565,14.393
2019-01-07 18:00,2019-01-07 13:00,4347.011,14.873
2019-01-07 19:00,2019-01-07 14:00,4368.021,15.335
2019-01-07 20:00,2019-01-07 15:00,4377.590,15.713
2019-01-07 21:00,2019-01-07 16:00,4366.446,15.290
2019-01-07 22:00,2019-01-07 17:00,4349.293,14.912
2019-01-07 23:00,2019-01-07 18:00,4363.265,15.207
2019-01-08 00:00,2019-01-07 19:00,4337.762,14.711
2019-01-08 01:00,2019-01-07 20:00,4331.191,14.625
2019-01-08 02:00,2019-01-07 21:00,4378.141,15.737
2019-01-08 03:00,2019-01-07 22:00,4337.308,17.576
2019-01-08 04:00,2019-01-07 23:00,4316.923,17.901
2019-01-08 05:00,2019-01-08 00:00,4355.335,17.224
2019-01-08 06:00,2019-01-08 01:00,4380.689,16.011
2019-01-08 07:00,2019-01-08 02:00,4354.525,15.013
2019-01-08 08:00,2019-01-08 03:00,4273.633,13.978
2019-01-08 09:00,2019-01-08 04:00,4001.593,12.331
2019-01-08 10:00,2019-01-08 05:00,3185.320,10.040
2019-01-08 11:00,2019-01-08 06:00,2384.582,8.604
2019-01-08 12:00,2019-01-08 07:00,1609.368,7.324
2019-01-08 13:00,2019-01-08 08:00,749.703,5.609
2019-01-08 14:00,2019-01-08 09:00,129.555,3.211
2019-01-08 15:00,2019-01-08 10:00,9.214,1.664
2019-01-08 16:00,2019-01-08 11:00,7.563,1.600
2019-01-08 17:00,2019-01-08 12:00,69.236,2.696
2019-01-08 18:00,2019-01-08 13:00,60.559,2.606
2019-01-08 19:00,2019-01-08 14:00,239.403,3.869
2019-01-08 20:00,2019-01-08 15:00,600.398,5.200
2019-01-08 21:00,2019-01-08 16:00,927.094,6.023
2019-01-08 22:00,2019-01-08 17:00,967.570,6.115
2019-01-08 23:00,2019-01-08 18:00,1068.263,6.323
2019-01-09 00:00,2019-01-08 19:00,1503.474,7.137
2019-01-09 01:00,2019-01-08 20:00,2376.083,8.588
2019-01-09 02:00,2019-01-08 21:00,3336.217,10.350
2019-01-09 03:00,2019-01-08 22:00,3547.450,10.852
2019-01-09 04:00,2019-01-08 23:00,3438.869,10.592
2019-01-09 05:00,2019-01-09 00:00,3503.561,10.745
2019-01-09 06:00,2019-01-09 01:00,3886.997,11.888
2019-01-09 07:00,2019-01-09 02:00,4067.073,12.641
2019-01-09 08:00,2019-01-09 03:00,4119.615,12.911
2019-01-09 09:00,2019-01-09 04:00,4063.135,12.622
2019-01-09 10:00,2019-01-09 05:00,3968.086,12.196
2019-01-09 11:00,2019-01-09 06:00,3979.403,12.247
2019-01-09 12:00,2019-01-09 07:00,3982.113,12.259
2019-01-09 13:00,2019-01-09 08:00,3981.692,12.257
2019-01-09 14:00,2019-01-09 09:00,4130.467,12.972
2019-01-09 15:00,2019-01-09 10:00,4200.944,13.397
2019-01-09 16:00,2019-01-09 11:00,4223.657,13.567
2019-01-09 17:00,2019-01-09 12:00,4232.409,13.633
2019-01-09 18:00,2019-01-09 13:00,4205.599,13.438
2019-01-09 19:00,2019-01-09 14:00,4209.538,13.465
2019-01-09 20:00,2019-01-09 15:00,4186.679,13.310
2019-01-09 21:00,2019-01-09 16:00,4151.333,13.082
2019-01-09 22:00,2019-01-09 17:00,4182.399,13.283
2019-01-09 23:00,2019-01-09 18:00,4240.690,13.697
2019-01-10 00:00,2019-01-09 19:00,4268.282,13.919
2019-01-10 01:00,2019-01-09 20:00,4307.108,14.320
2019-01-10 02:00,2019-01-09 21:00,4337.737,14.710
2019-01-10 03:00,2019-01-09 22:00,4339.995,14.757
2019-01-10 04:00,2019-01-09 23:00,4328.745,14.586
2019-01-10 05:00,2019-01-10 00:00,4322.137,14.502
2019-01-10 06:00,2019-01-10 01:00,4304.707,14.293
2019-01-10 07:00,2019-01-10 02:00,4261.661,13.871
2019-01-10 08:00,2019-01-10 03:00,4213.324,13.486
2019-01-10 09:00,2019-01-10 04:00,4207.115,13.448
2019-01-10 10:00,2019-01-10 05:00,4243.025,13.716
2019-01-10 11:00,2019-01-10 06:00,4224.069,13.570
2019-01-10 12:00,2019-01-10 07:00,4173.922,13.229
2019-01-10 13:00,2019-01-10 08:00,4140.367,13.028
2019-01-10 14:00,2019-01-10 09:00,4158.786,13.136
2019-01-10 15:00,2019-01-10 10:00,4123.221,12.922
2019-01-10 16:00,2019-01-10 11:00,4111.642,12.869
2019-01-10 17:00,2019-01-10 12:00,4161.764,13.146
2019-01-10 18:00,2019-01-10 13:00,4182.058,13.281
2019-01-10 19:00,2019-01-10 14:00,4172.219,13.218
2019-01-10 20:00,2019-01-10 15:00,4142.169,13.038
2019-01-10 21:00,2019-01-10 16:00,4056.558,12.586
2019-01-10 22:00,2019-01-10 17:00,3887.578,11.890
2019-01-10 23:00,2019-01-10 18:00,3858.464,11.777
2019-01-11 00:00,2019-01-10 19:00,3821.188,11.648
2019-01-11 01:00,2019-01-10 20:00,3671.726,11.196
2019-01-11 02:00,2019-01-10 21:00,3345.547,10.372
2019-01-11 03:00,2019-01-10 22:00,2885.602,9.457
2019-01-11 04:00,2019-01-10 23:00,2868.822,9.432
2019-01-11 05:00,2019-01-11 00:00,2909.333,9.504
2019-01-11 06:00,2019-01-11 01:00,2891.187,9.474
2019-01-11 07:00,2019-01-11 02:00,2765.897,9.249
2019-01-11 08:00,2019-01-11 03:00,2656.489,9.057
2019-01-11 09:00,2019-01-11 04:00,2708.644,9.145
