# Renewables.ninja Wind (Point API) - 47.371, -70.864 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in America/Toronto, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "America/Toronto", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "47.371226077226275", "lon": "-70.8635928486976", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "4500", "height": "80", "turbine": "Gamesa G128 4500", "raw": true}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2018-12-31 19:00,608.947,5.234
2019-01-01 01:00,2018-12-31 20:00,609.169,5.234
2019-01-01 02:00,2018-12-31 21:00,473.753,4.814
2019-01-01 03:00,2018-12-31 22:00,423.923,4.639
2019-01-01 04:00,2018-12-31 23:00,397.063,4.551
2019-01-01 05:00,2019-01-01 00:00,278.958,4.067
2019-01-01 06:00,2019-01-01 01:00,335.724,4.313
2019-01-01 07:00,2019-01-01 02:00,535.875,5.018
2019-01-01 08:00,2019-01-01 03:00,632.034,5.289
2019-01-01 09:00,2019-01-01 04:00,809.123,5.754
2019-01-01 10:00,2019-01-01 05:00,832.490,5.808
2019-01-01 11:00,2019-01-01 06:00,659.392,5.374
2019-01-01 12:00,2019-01-01 07:00,663.512,5.385
2019-01-01 13:00,2019-01-01 08:00,860.095,5.874
2019-01-01 14:00,2019-01-01 09:00,1211.093,6.606
2019-01-01 15:00,2019-01-01 10:00,2375.923,8.580
2019-01-01 16:00,2019-01-01 11:00,3564.148,10.893
2019-01-01 17:00,2019-01-01 12:00,3915.706,11.987
2019-01-01 18:00,2019-01-01 13:00,3865.453,11.810
2019-01-01 19:00,2019-01-01 14:00,3679.194,11.217
2019-01-01 20:00,2019-01-01 15:00,3445.594,10.608
2019-01-01 21:00,2019-01-01 16:00,3293.992,10.268
2019-01-01 22:00,2019-01-01 17:00,3220.363,10.112
2019-01-01 23:00,2019-01-01 18:00,3044.782,9.761
2019-01-02 00:00,2019-01-01 19:00,2684.389,9.108
2019-01-02 01:00,2019-01-01 20:00,2418.513,8.651
2019-01-02 02:00,2019-01-01 21:00,2124.938,8.174
2019-01-02 03:00,2019-01-01 22:00,1819.241,7.677
2019-01-02 04:00,2019-01-01 23:00,1564.105,7.245
2019-01-02 05:00,2019-01-02 00:00,1168.891,6.528
2019-01-02 06:00,2019-01-02 01:00,1016.872,6.216
2019-01-02 07:00,2019-01-02 02:00,909.788,5.978
2019-01-02 08:00,2019-01-02 03:00,821.658,5.777
2019-01-02 09:00,2019-01-02 04:00,704.151,5.492
2019-01-02 10:00,2019-01-02 05:00,572.712,5.129
2019-01-02 11:00,2019-01-02 06:00,559.966,5.091
2019-01-02 12:00,2019-01-02 07:00,615.509,5.252
2019-01-02 13:00,2019-01-02 08:00,477.879,4.833
2019-01-02 14:00,2019-01-02 09:00,212.681,3.737
2019-01-02 15:00,2019-01-02 10:00,135.021,3.259
2019-01-02 16:00,2019-01-02 11:00,236.004,3.859
2019-01-02 17:00,2019-01-02 12:00,379.965,4.487
2019-01-02 18:00,2019-01-02 13:00,426.434,4.648
2019-01-02 19:00,2019-01-02 14:00,372.032,4.457
2019-01-02 20:00,2019-01-02 15:00,426.905,4.650
2019-01-02 21:00,2019-01-02 16:00,274.965,4.048
2019-01-02 22:00,2019-01-02 17:00,136.295,3.268
2019-01-02 23:00,2019-01-02 18:00,260.356,3.973
2019-01-03 00:00,2019-01-02 19:00,361.996,4.409
2019-01-03 01:00,2019-01-02 20:00,355.155,4.382
2019-01-03 02:00,2019-01-02 21:00,527.791,4.993
2019-01-03 03:00,2019-01-02 22:00,620.133,5.265
2019-01-03 04:00,2019-01-02 23:00,636.721,5.302
2019-01-03 05:00,2019-01-03 00:00,672.438,5.409
2019-01-03 06:00,2019-01-03 01:00,573.535,5.131
2019-01-03 07:00,2019-01-03 02:00,421.817,4.632
2019-01-03 08:00,2019-01-03 03:00,315.996,4.230
2019-01-03 09:00,2019-01-03 04:00,244.139,3.891
2019-01-03 10:00,2019-01-03 05:00,213.681,3.742
2019-01-03 11:00,2019-01-03 06:00,153.192,3.383
2019-01-03 12:00,2019-01-03 07:00,76.222,2.771
2019-01-03 13:00,2019-01-03 08:00,30.461,2.190
2019-01-03 14:00,2019-01-03 09:00,6.702,1.551
2019-01-03 15:00,2019-01-03 10:00,4.318,1.423
2019-01-03 16:00,2019-01-03 11:00,10.507,1.717
2019-01-03 17:00,2019-01-03 12:00,27.372,2.134
2019-01-03 18:00,2019-01-03 13:00,43.426,2.391
2019-01-03 19:00,2019-01-03 14:00,53.204,2.519
2019-01-03 20:00,2019-01-03 15:00,136.605,3.271
2019-01-03 21:00,2019-01-03 16:00,454.095,4.753
2019-01-03 22:00,2019-01-03 17:00,933.356,6.037
2019-01-03 23:00,2019-01-03 18:00,1044.003,6.276
2019-01-04 00:00,2019-01-03 19:00,979.179,6.140
2019-01-04 01:00,2019-01-03 20:00,610.760,5.239
2019-01-04 02:00,2019-01-03 21:00,556.104,5.071
2019-01-04 03:00,2019-01-03 22:00,604.046,5.220
2019-01-04 04:00,2019-01-03 23:00,707.019,5.500
2019-01-04 05:00,2019-01-04 00:00,734.327,5.561
2019-01-04 06:00,2019-01-04 01:00,758.870,5.632
2019-01-04 07:00,2019-01-04 02:00,915.259,6.000
2019-01-04 08:00,2019-01-04 03:00,856.558,5.866
2019-01-04 09:00,2019-01-04 04:00,822.272,5.778
2019-01-04 10:00,2019-01-04 05:00,910.733,5.983
2019-01-04 11:00,2019-01-04 06:00,1730.206,7.526
2019-01-04 12:00,2019-01-04 07:00,2332.736,8.509
2019-01-04 13:00,2019-01-04 08:00,2180.260,8.262
2019-01-04 14:00,2019-01-04 09:00,1903.267,7.818
2019-01-04 15:00,2019-01-04 10:00,2116.117,8.163
2019-01-04 16:00,2019-01-04 11:00,2394.857,8.621
2019-01-04 17:00,2019-01-04 12:00,2485.107,8.770
2019-01-04 18:00,2019-01-04 13:00,2472.800,8.741
2019-01-04 19:00,2019-01-04 14:00,2474.320,8.751
2019-01-04 20:00,2019-01-04 15:00,2383.294,8.602
2019-01-04 21:00,2019-01-04 16:00,2249.809,8.383
2019-01-04 22:00,2019-01-04 17:00,2016.941,8.002
2019-01-04 23:00,2019-01-04 18:00,1811.845,7.658
2019-01-05 00:00,2019-01-04 19:00,1620.088,7.343
2019-01-05 01:00,2019-01-04 20:00,1639.507,7.370
2019-01-05 02:00,2019-01-04 21:00,1512.245,7.154
2019-01-05 03:00,2019-01-04 22:00,1221.392,6.622
2019-01-05 04:00,2019-01-04 23:00,980.377,6.142
2019-01-05 05:00,2019-01-05 00:00,737.799,5.569
2019-01-05 06:00,2019-01-05 01:00,665.255,5.389
2019-01-05 07:00,2019-01-05 02:00,723.720,5.534
2019-01-05 08:00,2019-01-05 03:00,736.053,5.565
2019-01-05 09:00,2019-01-05 04:00,438.478,4.700
2019-01-05 10:00,2019-01-05 05:00,328.717,4.277
2019-01-05 11:00,2019-01-05 06:00,386.333,4.511
2019-01-05 12:00,2019-01-05 07:00,485.026,4.857
2019-01-05 13:00,2019-01-05 08:00,508.677,4.933
2019-01-05 14:00,2019-01-05 09:00,326.859,4.273
2019-01-05 15:00,2019-01-05 10:00,100.295,2.992
2019-01-05 16:00,2019-01-05 11:00,42.072,2.372
2019-01-05 17:00,2019-01-05 12:00,20.903,2.003
2019-01-05 18:00,2019-01-05 13:00,4.830,1.456
2019-01-05 19:00,2019-01-05 14:00,4.329,1.424
2019-01-05 20:00,2019-01-05 15:00,31.341,2.198
2019-01-05 21:00,2019-01-05 16:00,56.909,2.555
