# Renewables.ninja Solar PV (Point API) - 45.951, -68.814 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in America/New_York, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "America/New_York", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "45.95100688270479", "lon": "-68.8142483620811", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2018-12-31 19:00,0,0,0,-6.873
2019-01-01 01:00,2018-12-31 20:00,0,0,0,-6.515
2019-01-01 02:00,2018-12-31 21:00,0,0,0,-6.141
2019-01-01 03:00,2018-12-31 22:00,0,0,0,-5.710
2019-01-01 04:00,2018-12-31 23:00,0,0,0,-4.996
2019-01-01 05:00,2019-01-01 00:00,0,0,0,-4.084
2019-01-01 06:00,2019-01-01 01:00,0,0,0,-3.221
2019-01-01 07:00,2019-01-01 02:00,0,0,0,-2.392
2019-01-01 08:00,2019-01-01 03:00,0,0,0,-1.883
2019-01-01 09:00,2019-01-01 04:00,0,0,0,-1.802
2019-01-01 10:00,2019-01-01 05:00,0,0,0,-1.658
2019-01-01 11:00,2019-01-01 06:00,0,0,0,-1.391
2019-01-01 12:00,2019-01-01 07:00,0.001,0.001,0.006,-1.243
2019-01-01 13:00,2019-01-01 08:00,0.041,0.009,0.047,-0.895
2019-01-01 14:00,2019-01-01 09:00,0.065,0.010,0.071,-0.485
2019-01-01 15:00,2019-01-01 10:00,0.112,0.021,0.109,0.055
2019-01-01 16:00,2019-01-01 11:00,0.194,0.065,0.149,0.347
2019-01-01 17:00,2019-01-01 12:00,0.310,0.181,0.153,0.455
2019-01-01 18:00,2019-01-01 13:00,0.269,0.165,0.125,-0.120
2019-01-01 19:00,2019-01-01 14:00,0.131,0.068,0.080,-1.244
2019-01-01 20:00,2019-01-01 15:00,0.020,0.014,0.019,-2.566
2019-01-01 21:00,2019-01-01 16:00,0,0,0,-4.085
2019-01-01 22:00,2019-01-01 17:00,0,0,0,-5.723
2019-01-01 23:00,2019-01-01 18:00,0,0,0,-7.601
2019-01-02 00:00,2019-01-01 19:00,0,0,0,-9.383
2019-01-02 01:00,2019-01-01 20:00,0,0,0,-10.945
2019-01-02 02:00,2019-01-01 21:00,0,0,0,-12.287
2019-01-02 03:00,2019-01-01 22:00,0,0,0,-13.412
2019-01-02 04:00,2019-01-01 23:00,0,0,0,-14.358
2019-01-02 05:00,2019-01-02 00:00,0,0,0,-15.237
2019-01-02 06:00,2019-01-02 01:00,0,0,0,-16.156
2019-01-02 07:00,2019-01-02 02:00,0,0,0,-16.966
2019-01-02 08:00,2019-01-02 03:00,0,0,0,-17.675
2019-01-02 09:00,2019-01-02 04:00,0,0,0,-18.916
2019-01-02 10:00,2019-01-02 05:00,0,0,0,-20.098
2019-01-02 11:00,2019-01-02 06:00,0,0,0,-20.735
2019-01-02 12:00,2019-01-02 07:00,0.086,0.085,0.010,-21.029
