# Renewables.ninja Wind (Point API) - 46.846, -67.559 - Version: 1.1 - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.068
# Units: time in UTC, local_time in America/Moncton, electricity in kW, wind_speed in m/s
# {"units": {"time": "UTC", "local_time": "America/Moncton", "electricity": "kW", "wind_speed": "m/s"}, "params": {"local_time": true, "header": true, "lat": "46.84553673993561", "lon": "-67.55900167973836", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "4500", "height": "80", "turbine": "Gamesa G128 4500", "raw": true}}
time,local_time,electricity,wind_speed
2019-01-01 00:00,2018-12-31 20:00,852.805,5.857
2019-01-01 01:00,2018-12-31 21:00,911.163,5.990
2019-01-01 02:00,2018-12-31 22:00,900.885,5.958
2019-01-01 03:00,2018-12-31 23:00,956.079,6.084
2019-01-01 04:00,2019-01-01 00:00,937.807,6.045
2019-01-01 05:00,2019-01-01 01:00,1352.946,6.868
2019-01-01 06:00,2019-01-01 02:00,1564.231,7.249
2019-01-01 07:00,2019-01-01 03:00,2124.970,8.176
2019-01-01 08:00,2019-01-01 04:00,2410.132,8.643
2019-01-01 09:00,2019-01-01 05:00,2414.565,8.647
2019-01-01 10:00,2019-01-01 06:00,2568.333,8.901
2019-01-01 11:00,2019-01-01 07:00,3119.045,9.898
2019-01-01 12:00,2019-01-01 08:00,3746.987,11.419
2019-01-01 13:00,2019-01-01 09:00,3280.893,10.239
2019-01-01 14:00,2019-01-01 10:00,2644.795,9.040
2019-01-01 15:00,2019-01-01 11:00,1665.552,7.417
2019-01-01 16:00,2019-01-01 12:00,231.577,3.837
2019-01-01 17:00,2019-01-01 13:00,7.399,1.592
2019-01-01 18:00,2019-01-01 14:00,1450.390,7.051
2019-01-01 19:00,2019-01-01 15:00,3608.591,11.010
2019-01-01 20:00,2019-01-01 16:00,4179.610,13.265
2019-01-01 21:00,2019-01-01 17:00,4246.985,13.738
2019-01-01 22:00,2019-01-01 18:00,4185.100,13.300
2019-01-01 23:00,2019-01-01 19:00,4157.064,13.125
2019-01-02 00:00,2019-01-01 20:00,4095.943,12.786
2019-01-02 01:00,2019-01-01 21:00,4014.228,12.393
2019-01-02 02:00,2019-01-01 22:00,3879.743,11.861
2019-01-02 03:00,2019-01-01 23:00,3760.812,11.462
2019-01-02 04:00,2019-01-02 00:00,3612.965,11.033
2019-01-02 05:00,2019-01-02 01:00,3466.483,10.659
2019-01-02 06:00,2019-01-02 02:00,3192.872,10.055
2019-01-02 07:00,2019-01-02 03:00,2905.451,9.493
2019-01-02 08:00,2019-01-02 04:00,2496.805,8.784
2019-01-02 09:00,2019-01-02 05:00,2081.971,8.109
2019-01-02 10:00,2019-01-02 06:00,1722.999,7.513
2019-01-02 11:00,2019-01-02 07:00,1523.683,7.173
2019-01-02 12:00,2019-01-02 08:00,1512.290,7.156
2019-01-02 13:00,2019-01-02 09:00,1295.893,6.770
2019-01-02 14:00,2019-01-02 10:00,1177.977,6.546
2019-01-02 15:00,2019-01-02 11:00,1083.705,6.349
2019-01-02 16:00,2019-01-02 12:00,1007.225,6.190
2019-01-02 17:00,2019-01-02 13:00,1035.849,6.255
2019-01-02 18:00,2019-01-02 14:00,1041.701,6.272
2019-01-02 19:00,2019-01-02 15:00,794.867,5.720
2019-01-02 20:00,2019-01-02 16:00,610.799,5.239
2019-01-02 21:00,2019-01-02 17:00,527.631,4.992
2019-01-02 22:00,2019-01-02 18:00,434.400,4.686
2019-01-02 23:00,2019-01-02 19:00,294.408,4.127
2019-01-03 00:00,2019-01-02 20:00,124.373,3.182
2019-01-03 01:00,2019-01-02 21:00,38.609,2.313
2019-01-03 02:00,2019-01-02 22:00,13.983,1.820
2019-01-03 03:00,2019-01-02 23:00,3.787,1.377
2019-01-03 04:00,2019-01-03 00:00,2.784,1.293
2019-01-03 05:00,2019-01-03 01:00,69.126,2.695
2019-01-03 06:00,2019-01-03 02:00,374.187,4.465
2019-01-03 07:00,2019-01-03 03:00,742.739,5.591
2019-01-03 08:00,2019-01-03 04:00,875.373,5.909
2019-01-03 09:00,2019-01-03 05:00,736.529,5.566
2019-01-03 10:00,2019-01-03 06:00,652.128,5.354
